from_stop_id,to_stop_id,transfer_type,min_transfer_time
1006896,1002721,2,14
1006896,1002722,2,67
1006896,1003825,2,130
1006898,1006899,2,15
1006898,1003307,2,63
1006898,1003306,2,60
1003351,1003350,2,39
1003351,1006900,2,116
1006900,1006901,2,83
1006900,1003350,2,79
1006900,1003351,2,116
1003924,1003925,2,90
1003924,1006901,2,85
1003924,1003990,2,136
1003924,1003991,2,109
1002044,1002045,2,114
1002044,1003326,2,112
1006902,1006903,2,11
1006902,1002045,2,118
1006902,1001177,2,75
1006904,1006905,2,11
1001319,1000362,2,26
1003211,1002909,2,96
1003211,1003148,2,19
1003211,1000362,2,121
1003211,1003012,2,101
1003211,1008644,2,90
1003012,1002909,2,9
1003012,1003148,2,82
1003012,1003211,2,101
1003012,1008644,2,114
1003012,1002321,2,92
1006910,1006907,2,32
1006960,1006959,2,21
1006958,1006957,2,19
1006956,1006955,2,46
1006964,1006951,2,21
1006954,1006953,2,21
1006949,1006948,2,30
1006947,1006950,2,59
1006965,1006946,2,11
1006945,1006944,2,16
1006943,1006942,2,140
1006941,1006940,2,11
1006939,1008058,2,29
1006939,1006938,2,14
1008058,1006939,2,29
1008058,1006938,2,42
1008059,1006935,2,140
1006935,1008059,2,140
1006936,1006938,2,138
1006938,1006939,2,14
1006938,1008058,2,42
1006938,1006936,2,138
1006940,1006941,2,11
1006942,1006943,2,140
1006944,1006945,2,16
1006946,1006965,2,11
1006950,1006947,2,59
1006948,1006949,2,30
1006953,1006954,2,21
1006951,1006964,2,21
1006955,1006956,2,46
1006957,1006958,2,19
1006959,1006960,2,21
1003179,1003180,2,19
1002469,1002213,2,140
1002469,1002212,2,136
1002469,1002468,2,58
1002213,1002469,2,140
1002213,1002212,2,12
1002213,1002468,2,82
1006997,1003374,2,11
1006998,1003590,2,18
1006999,1007183,2,24
1008000,1008347,2,124
1008000,1008348,2,102
1008000,1007182,2,18
1008001,1008002,2,119
1008001,1008003,2,103
1008001,1007181,2,18
1008002,1008001,2,119
1008002,1008003,2,16
1008002,1007181,2,130
1008004,1007180,2,14
1006757,1006724,2,71
1008005,1006723,2,26
1008006,1008007,2,92
1008007,1008006,2,92
1002245,1002242,2,109
1002242,1002245,2,109
1002247,1008085,2,59
1008085,1002247,2,59
1008085,1000009,2,108
1003125,1008086,2,113
1003125,1003537,2,135
1008086,1003125,2,113
1008086,1003537,2,72
1003057,1003990,2,136
1003990,1006901,2,100
1003990,1003924,2,136
1003990,1003057,2,136
1003990,1003991,2,38
1003825,1006897,2,135
1003825,1002721,2,138
1003825,1006896,2,130
1003326,1002044,2,112
1001177,1006903,2,69
1001177,1002045,2,87
1001177,1006902,2,75
1001177,1001755,2,133
1001755,1001177,2,133
1001651,1001647,2,114
1001651,1001652,2,88
1001651,1000636,2,100
1000992,1003749,2,121
1000992,1003811,2,110
1003749,1000992,2,121
1003749,1003811,2,23
1000610,1002968,2,125
1000610,1003823,2,123
1000610,1000110,2,22
1000728,1000354,2,97
1000728,1002683,2,102
1000728,1008108,2,23
1000354,1000728,2,97
1000354,1002683,2,20
1000354,1008108,2,100
1000134,1000352,2,10
1000129,1006909,2,127
1000129,1003522,2,133
1000129,1000353,2,31
1008088,1006908,2,66
1008088,1000704,2,91
1001334,1002794,2,138
1002794,1001334,2,138
1000009,1008085,2,108
1003537,1003125,2,135
1003537,1008086,2,72
1009040,1006249,2,101
1009040,1006248,2,113
1009040,1009041,2,13
1009042,1009043,2,10
1009054,1009053,2,9
1009052,1009051,2,14
1009050,1009049,2,12
1009055,1009048,2,11
1009044,1009045,2,31
1009031,1009033,2,131
1009031,1009032,2,31
1009034,1009035,2,29
1009036,1009037,2,24
1009038,1009039,2,23
1008154,1006062,2,119
1006190,1008153,2,30
1006191,1006091,2,24
1006089,1006199,2,39
1006091,1006191,2,24
1008153,1006190,2,30
1006062,1008154,2,119
1009039,1009038,2,23
1009037,1009036,2,24
1009035,1009034,2,29
1009033,1009031,2,131
1009033,1009032,2,101
1009032,1009031,2,31
1009032,1009033,2,101
1009045,1009044,2,31
1009048,1009055,2,11
1009048,1009049,2,143
1009049,1009050,2,12
1009049,1009048,2,143
1009051,1009052,2,14
1009053,1009054,2,9
1009043,1009042,2,10
1009041,1006249,2,103
1009041,1006248,2,117
1009041,1009040,2,13
1006967,1006968,2,19
1006969,1006971,2,79
1006969,1006970,2,70
1006971,1006969,2,79
1006971,1006970,2,13
1006973,1006972,2,14
1006974,1006975,2,14
1006975,1006974,2,14
1006972,1006973,2,14
1006970,1006969,2,70
1006970,1006971,2,13
1006977,1006978,2,30
1006979,1006980,2,25
1006982,1006983,2,106
1006982,1006984,2,115
1006982,1006981,2,23
1006983,1006982,2,106
1006983,1006984,2,18
1006983,1006981,2,122
1006985,1006986,2,25
1006987,1006988,2,31
1001115,1001117,2,22
1001825,1001118,2,14
1008404,1008405,2,15
1008406,1008407,2,65
1008408,1008409,2,15
1008411,1008410,2,25
1008413,1008412,2,18
1008414,1008415,2,26
1008415,1008414,2,26
